Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,38912.20974,39257.7619,40093.80734,40989.52682,41646.41464,42098.43122,42063.24012,40368.93151,41156.14519,42037.51874,42315.80739,42846.2842,43635.09548,43596.13554,43536.9134,44325.48834,44917.48373,45113.06628,42366.48714,44234.54214
Cayman Islands,CYM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,96176.3019,96280.24834,93166.31677,84026.97277,79519.84377,78393.73628,77448.50983,76617.54337,76872.58092,77295.84566,78077.43365,78883.28208,80597.70864,82170.59303,76609.76853,78731.14741
Central African Republic,CAF,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,461.4980857,426.1595809,442.0152361,436.1002651,447.8081065,459.7460664,459.5624572,488.3880251,500.5292774,513.5942668,534.8835626,338.1657058,338.7003849,351.8797548,362.2183312,371.603131,378.2630778,381.4140464,375.2169241,370.6757503
Chad,TCD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,429.4269739,473.4680217,605.239355,682.3538734,662.8855051,661.7723647,658.8744606,662.9232529,727.5249451,703.1232151,739.3383648,754.1718133,777.9356811,774.4116031,703.4660071,660.1261338,653.3497615,652.703216,622.2785063,595.6637866
Channel Islands,CHI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8904.538118,9227.912338,9746.183277,10214.7328,10727.10289,11171.41974,11479.28183,11234.96821,11773.0044,12382.37946,13017.06784,13318.59521,13421.53834,13569.94813,13644.62326,13615.52386,13906.77056,13761.37447,12741.15751,14095.78224
China,CHN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2557.891746,2797.176806,3061.833333,3390.716338,3800.765996,4319.031624,4711.643697,5128.904397,5647.069024,6152.697196,6591.66284,7056.423462,7532.785697,8016.446016,8516.52919,9053.2292,9619.20998,10155.51142,10358.17054,11223.15337
Colombia,COL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4045.306747,4142.007703,4301.035042,4447.566818,4685.054586,4939.117957,5042.061146,5042.144959,5209.732471,5511.099853,5667.498751,5899.76792,6107.08302,6228.651622,6291.079698,6280.891051,6320.990748,6404.108766,5852.983235,6423.859895
Comoros,COM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1208.589928,1210.028524,1209.863114,1219.991232,1227.482897,1212.751725,1235.652819,1249.839403,1270.302654,1295.204391,1307.973031,1337.397725,1336.489702,1322.936775,1337.527869,1360.431185,1383.377872,1381.622238,1352.955492,1355.538811
"Congo, Dem. Rep.",COD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,322.4400519,330.5489871,342.4599973,352.3212297,359.4280716,369.840754,380.4949103,379.0548809,393.0274508,406.2010286,420.6293654,441.0129781,466.4249466,482.0645685,476.8149045,477.8478911,489.3823745,494.8192476,487.433133,501.2390883
"Congo, Rep.",COG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2101.690648,2060.938948,2061.348208,2142.705983,2228.585465,2005.960075,2062.970193,2212.361869,2333.074245,2308.423476,2468.558493,2392.688749,2493.088071,2347.818507,2045.202266,1909.365882,1774.613907,1731.799886,1586.318302,1515.893872
Costa Rica,CRI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7898.633138,8109.824898,8340.829853,8545.747274,9041.386796,9647.860895,9966.048441,9746.490696,10137.58217,10453.52257,10832.75676,10975.69637,11240.71159,11529.95517,11893.32325,12267.16204,12470.95742,12662.42285,12030.04859,12888.46631
Cote d'Ivoire,CIV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1636.446951,1521.884843,1534.076717,1514.620558,1523.233058,1507.089596,1545.880093,1568.021136,1640.315034,1520.342303,1602.910924,1739.155195,1858.615354,1941.581898,2027.833976,2122.502619,2168.913442,2252.543316,2234.909473,2333.353122
Croatia,HRV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10060.20124,10620.08107,11061.19532,11522.94567,12086.80738,12689.19659,12944.75472,12026.20514,11906.00566,11936.83597,11694.19879,11680.16108,11677.48175,12071.09096,12588.35317,13175.16324,13665.71441,14211.75543,13048.74429,15396.10885
Cuba,CUB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4280.234412,4431.00284,4675.808084,5189.950033,5808.664725,6225.38023,6477.804699,6567.987282,6720.677673,6903.94022,7105.433676,7292.738255,7362.341667,7683.757891,7721.791846,7865.371561,8048.01661,8042.948524,7172.519257,7291.067885
Curacao,CUW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,22231.8794,21840.8914,21512.11169,21112.32201,20913.66312,21011.15715,21202.4306,20952.89993,20706.43754,20539.36021,20356.18194,19963.34558,19459.49436,19260.26985,18890.75873,18504.30566,18198.66427,17796.69991,14748.89551,15633.23336
Cyprus,CYP,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,23604.07031,23930.66016,24799.53711,25631.25586,26395.40039,27156.67188,27449.03125,26183.45117,26090.03711,25538.77148,24285.48633,22738.48047,22581.81641,23487.21875,24916.61914,26101.28516,27241.11523,28360.03125,26814.32227,28329.31641
Czechia,CZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12959.81748,13428.09962,14070.28046,14978.41319,15948.74529,16739.17872,17046.88503,16160.62056,16505.9537,16761.82731,16606.99254,16593.86423,16951.37912,17829.69832,18247.01173,19139.23988,19689.5827,20206.42564,19048.08685,20085.45803
Denmark,DNK,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,49541.85555,49599.99696,50792.00095,51835.83271,53687.44155,53935.87025,53345.35762,50457.23249,51173.46616,51644.46351,51567.04015,51831.79793,52404.76397,53254.85637,54556.06895,55735.7649,56563.48847,57203.02779,55898.79003,58359.58399
Djibouti,DJI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,2167.202457,2279.577595,2409.311902,2538.054019,2632.913333,2714.351648,2820.062866,2811.649531,2905.560874
Dominica,DMA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6078.271721,6447.431432,6631.333141,6665.105971,6968.763248,7407.930636,7934.646075,7841.273188,7897.690327,7881.525202,7781.532762,7711.446038,8013.753085,7724.042411,7929.805284,7370.433117,7586.646141,7936.304818,6566.364208,6978.470497
Dominican Republic,DOM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4340.899929,4222.59033,4272.075225,4612.808741,4971.238158,5272.864103,5373.096245,5353.598213,5724.307281,5827.383243,5909.863367,6120.991154,6472.849075,6838.936735,7209.99019,7461.653257,7894.955179,8205.142578,7571.782808,8410.60583
Ecuador,ECU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4421.934417,4463.597184,4746.807173,4912.527491,5041.3338,5063.984478,5294.899313,5236.053684,5331.383774,5657.213016,5881.381167,6078.439563,6215.838092,6130.586676,5965.643273,6012.803317,5976.245345,5863.910566,5331.976611,5492.489271
"Egypt, Arab Rep.",EGY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2560.457409,2587.630508,2639.347069,2703.222583,2832.5482,2974.687871,3125.74753,3208.452267,3305.883247,3290.761828,3288.794355,3283.74072,3301.204443,3370.382447,3444.268262,3517.587895,3635.420582,3769.03577,3835.784215,3896.842853
El Salvador,SLV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3003.698336,3042.83465,3065.418788,3147.225224,3285.917608,3341.616988,3399.331872,3315.801586,3373.043811,3488.150015,3572.67142,3638.162797,3686.095562,3761.51368,3845.022493,3921.315863,4009.716557,4105.646168,3774.666183,4182.352078
Equatorial Guinea,GNQ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6987.942671,7604.480723,10028.35438,11188.44858,11508.92596,12660.90551,14222.54889,13740.84002,11933.31108,12155.81878,12625.29597,11614.00295,11200.81072,9788.983804,8594.450219,7818.05359,7079.650526,6472.070883,6030.517591,5833.102952
Eritrea,ERI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,835.1099976,780.4681392,760.3487878,761.0317824,741.0007433,739.7393434,649.6944623,657.7864582,658.5862715,702.3966325,..,..,..,..,..,..,..,..,..,..
Estonia,EST,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11417.16797,12362.24828,13282.54552,14631.38733,16155.20743,17459.09831,16607.56806,14205.39488,14585.83866,15692.78883,16257.4722,16553.38326,17096.64458,17402.03761,17945.94496,18962.4103,19611.61099,20269.57514,20118.10507,21707.24075
Eswatini,SWZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2494.44754,2571.688071,2647.463243,2790.250788,2941.396842,3054.082429,3062.614991,3096.296069,3199.053542,3254.813373,3411.719361,3521.669337,3530.360904,3583.31129,3594.167067,3638.768782,3696.359849,3766.062999,3672.65335,3923.577333
Ethiopia,ETH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,268.4236051,255.100269,281.5203288,305.9793587,329.6792828,357.1179359,384.5726631,406.8569329,445.1823411,481.0378632,508.0657159,546.5928418,586.5736207,630.3126271,671.2905841,715.7487435,744.3675294,785.4849817,811.2555499,834.9913016
Faroe Islands,FRO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,44678.67071,42740.25501,42510.34772,44108.58146,47197.67527,49933.35157,52595.02675,52726.6887,52762.43004,53822.91125,54506.38844,56402.39445,54150.65174,56689.34607
Fiji,FJI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4125.326719,4125.729994,4302.347951,4291.715847,4330.827576,4257.514868,4272.306983,4191.347609,4297.139304,4397.903395,4446.734555,4645.046887,4894.044,5105.190039,5223.376465,5499.122684,5708.91143,5678.969942,4703.509807,4442.869411
Finland,FIN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,39351.3904,40044.30486,41522.17508,42530.61968,44074.03092,46212.64097,46358.62041,42412.09785,43563.5722,44466.8177,43637.24867,43044.99712,42710.92129,42801.90812,43878.96673,45173.62941,45627.91989,46135.88142,44984.73445,46259.19692
France,FRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,34146.30627,34183.66334,34893.52981,35208.8558,35821.87199,36464.95927,36354.65866,35129.36224,35638.12156,36244.18716,36182.15113,36203.19087,36378.61866,36652.92231,36956.7958,37694.0833,38259.69777,38832.0242,35712.0752,38045.90216
French Polynesia,PYF,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,20971.2589,21088.84862,20978.09544,20738.18069,20630.32645,20734.89496,20560.39023,19570.07372,18986.23746,18328.48097,18074.90319,18055.75728,18047.57423,18252.51413,18561.14779,19232.83201,19425.17237,19807.29314,18286.3746,18595.16793
Gabon,GAB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7357.566714,7322.606141,7171.683533,7155.365485,6750.050849,6937.485135,6497.481239,6295.199055,6514.731163,6735.082879,6840.948613,6977.77027,7039.682149,7090.454634,7038.577278,6893.384327,6786.89035,6893.323106,6619.688603,6577.411772
"Gambia, The",GMB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,645.7017307,670.6609394,697.4724509,661.3219096,638.0769451,637.5309993,656.7039081,679.003611,697.1625663,620.9482216,633.5827195,632.1971502,605.0336927,611.6712178,606.3161989,618.4807674,645.9381857,668.6351211,655.5761178,666.4710849
Georgia,GEO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1774.603859,1984.207899,2112.222537,2329.528082,2563.496023,2901.050828,2980.254815,2897.077683,3100.666495,3356.936232,3597.137717,3738.636395,3902.497145,4014.112241,4128.309803,4327.648125,4539.004182,4773.335666,4447.582589,4931.733169
Germany,DEU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,34883.05807,34619.66407,35034.08061,35310.47047,36699.44678,37842.35779,38278.31301,36190.39289,37760.91363,39977.34171,40069.35396,40135.01583,40851.16173,41103.25644,41682.03224,42639.55441,42928.74124,43284.60246,41650.42271,42726.48532
Ghana,GHA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1050.344113,1075.371975,1105.685735,1140.186529,1181.559087,1201.210925,1277.82311,1306.185264,1374.985151,1530.359472,1631.919509,1708.828158,1715.824117,1711.271471,1728.097232,1827.274082,1899.808593,1981.613928,1951.064644,2014.713874
Gibraltar,GIB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,19996.55181,21104.83291,22118.1558,22185.52068,23369.25172,24072.89616,23928.60572,22839.34753,21560.35335,19400.80773,18123.6711,17796.25767,18000.41846,18083.87791,18070.78073,18304.30768,18647.49572,19018.90212,17343.60999,18907.84914
Greenland,GRL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,31475.82204,32779.88233,34953.95024,36681.80651,38829.53739,39896.87636,42527.66791,42899.74527,43198.03345,42994.88017,43655.70156,43338.38501,45545.14408,44536.35609,46561.78431,46597.94642,47012.98721,48170.7909,48139.5838,48514.52835
Grenada,GRD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6718.090015,7319.465525,7220.547712,8124.412907,7748.233206,8168.45103,8190.647564,7596.902706,7505.713231,7505.265186,7354.973603,7461.400736,7939.502066,8379.621847,8621.538901,8933.108249,9252.554034,9247.898382,7915.138714,8223.186698
Guam,GUM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,29531.10131,29640.89325,31446.57205,32507.51749,31273.5773,31481.05247,32128.97223,32298.34765,32964.24536,32841.67229,33392.68538,33822.59302,34328.5632,34522.37793,34509.60065,34763.08114,34472.9594,35378.95577,31236.07975,31325.3963
Guatemala,GTM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3239.560829,3250.834756,3282.31464,3320.157565,3427.67155,3573.592633,3620.82337,3570.295842,3606.423482,3688.858936,3731.668472,3802.146352,3903.051966,3994.629085,4034.150577,4091.259983,4163.476302,4263.708444,4124.143539,4388.724072
Guinea,GIN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,657.8567571,651.305257,652.50422,658.8943813,653.1193781,681.8281759,693.1141054,668.8147426,683.9845848,704.7373238,728.3684373,738.8405929,747.363411,756.4255898,816.8470793,878.1792716,910.652642,937.7031315,959.4319731,972.7790299
Guinea-Bissau,GNB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,545.9668174,536.5610173,538.5425228,548.2073658,547.2321748,550.8764958,554.0634929,558.1920849,569.0176261,599.0452018,573.2171985,576.1798874,566.5355786,585.9570126,607.1663368,627.6169372,620.7710304,633.7257459,604.5951481,613.898112
Guyana,GUY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3911.933265,3885.979511,3947.447297,3874.076933,4080.009142,4384.083878,4475.059558,4654.5258,4868.705563,5147.172443,5420.67715,5592.756441,5659.075248,5668.429765,5852.837731,6038.273456,6127.705381,6348.69809,9126.806047,10857.33815
Haiti,HTI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1296.410671,1318.594144,1279.546588,1297.085988,1298.034876,1336.832329,1350.23348,1406.935035,1312.284856,1363.748835,1349.68925,1387.111167,1406.412235,1405.714786,1411.14311,1426.633692,1430.818777,1387.514913,1324.283286,1284.477935
Honduras,HND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1787.098935,1821.150379,1887.085324,1953.326123,2033.071108,2110.047332,2151.201561,2054.384112,2087.252271,2124.187516,2169.15629,2187.833433,2213.440507,2257.225284,2303.878504,2373.79156,2423.27606,2446.108097,2190.974369,2428.031947
